u_visual_brightness,u_visual_contrast,u_visual_edge_density,u_visual_texture,u_size_small,u_size_medium,u_size_large,u_lipophilic,u_polar,u_hbond_rich,u_druglike_window,u_synthetic_easy,u_reference_present,u_intent_decrease_logp,u_intent_default,u_intent_increase_logp,u_intent_increase_qed,u_intent_less_polar,u_intent_lower_sa,u_intent_more_polar,understanding_summary,understanding_tags,intent
0.616362452507019,0.7647058963775635,0.1999782986111111,0.8447046875953674,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is large, polar, LogP=4.83, QED=0.30; intent=default; without reference molecule.",high_visual_contrast;lipophilic;polar;default,default
0.6809546947479248,0.8274509906768799,0.1997612847222222,0.8607402741909027,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is large, polar, LogP=3.31, QED=0.38; intent=default; without reference molecule.",high_visual_contrast;lipophilic;polar;default,default
0.6988438367843628,0.8392156958580017,0.1996527777777778,0.8347551226615906,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is medium, polar, LogP=3.26, QED=0.38; intent=default; without reference molecule.",high_visual_contrast;lipophilic;polar;druglike_window;default,default
0.6754212975502014,0.8117647171020508,0.19954427083333334,0.8486572802066803,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is medium, polar, LogP=3.66, QED=0.53; intent=default; without reference molecule.",high_visual_contrast;lipophilic;polar;druglike_window;default,default
0.9346029758453369,1.0,0.19715711805555555,0.5775482207536697,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is small, polar, LogP=-2.21, QED=0.43; intent=default; without reference molecule.",high_visual_contrast;polar;druglike_window;default,default
0.7579439878463745,0.8666666746139526,0.197265625,0.7340671420097351,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is medium, polar, LogP=2.34, QED=0.52; intent=default; without reference molecule.",high_visual_contrast;polar;druglike_window;default,default
0.7944483160972595,0.8588235378265381,0.1994357638888889,0.6814408153295517,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is medium, polar, LogP=1.69, QED=0.81; intent=default; without reference molecule.",high_visual_contrast;polar;druglike_window;default,default
0.6300402879714966,0.7803921699523926,0.19986979166666666,0.8314810395240784,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is large, polar, LogP=4.67, QED=0.13; intent=default; without reference molecule.",high_visual_contrast;lipophilic;polar;default,default
0.6698032021522522,0.8470588326454163,0.1999782986111111,0.9543603658676147,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is large, polar, LogP=2.91, QED=0.26; intent=default; without reference molecule.",high_visual_contrast;polar;default,default
0.7702069878578186,0.8901960849761963,0.19932725694444445,0.746536910533905,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bright, high-contrast query; target is medium, polar, LogP=2.04, QED=0.45; intent=default; without reference molecule.",high_visual_contrast;polar;druglike_window;default,default
